Name;email;department;position;project;task;date;logged hours
John Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2240;2021-10-19;5
John Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2240;2021-10-20;8
Lucas Vaskes;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-10-20;4
Jane Doe;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-10-21;5
Jane Doe;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-10-22;6
Lucas Vaskes;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2240;2021-11-2;4
Jane Doe;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-10-20;4
Mark Zacslav;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-10-21;5
Jane Doe;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-10-22;6
John Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2240;2021-11-2;4
Lucas Vaskes;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-10-20;4
Lucas Vaskes;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-10-21;5
Jane Doe;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-10-22;6
Mark Zacslav;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2240;2021-11-2;4
Jane Doe;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-10-20;4
Jane Doe;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-10-21;5
Lucas Vaskes;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-10-22;6
John Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2240;2021-11-2;4
Mark Zacslav;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-10-20;4
Lucas Vaskes;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-10-21;5
Jane Doe;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-10-22;6
John Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2240;2021-11-2;4
Mark Zacslav;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-10-20;4
Jane Doe;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-10-21;5
Mark Zacslav;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-10-22;6
John Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2240;2021-11-2;4
Jane Doe;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-10-20;4
Lucas Vaskes;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-10-21;5
Jane Doe;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-10-22;6
Mark Zacslav;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2240;2021-11-2;4
Jane Doe;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-10-22;6
John Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2240;2021-11-2;4
Jane Doe;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-11-12;4
Jane Doe;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-11-21;5
Lucas Vaskes;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-12-22;6
John Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2240;2021-11-2;4
Jane Doe;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-1-20;4
Lucas Vaskes;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-2-21;5
